epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,92.5919,0.43032,0.4409,0.91555,0.90472,0.625,0.61421,0.45606,1.19927,1.14749,1.36654,0.0006536,0.0006536,0.0006536
70,94.2518,0.44954,0.44339,0.88745,0.90477,0.625,0.61733,0.4328,1.26466,1.13225,1.4101,0.0006338,0.0006338,0.0006338
71,95.7624,0.409,0.41386,0.92192,0.90476,0.625,0.62074,0.44074,1.24643,1.11962,1.40113,0.000614,0.000614,0.000614
72,97.3314,0.47275,0.45152,0.90905,0.9047,0.625,0.61223,0.45575,1.1791,1.03574,1.3505,0.0005942,0.0005942,0.0005942
73,99.11,0.42848,0.46273,0.90331,0.9047,0.625,0.61223,0.45575,1.1791,1.03574,1.3505,0.0005744,0.0005744,0.0005744
74,100.844,0.43876,0.43087,0.86956,0.90473,0.625,0.62866,0.48527,1.13402,1.03308,1.31886,0.0005546,0.0005546,0.0005546
75,102.446,0.45945,0.43255,0.90468,0.90685,0.625,0.6296,0.4913,1.14997,1.10047,1.30477,0.0005348,0.0005348,0.0005348
76,103.971,0.46169,0.43128,0.91406,0.90607,0.625,0.62867,0.499,1.13136,1.12264,1.26755,0.000515,0.000515,0.000515
77,105.56,0.45323,0.43042,0.88835,0.90607,0.625,0.62867,0.499,1.13136,1.12264,1.26755,0.0004952,0.0004952,0.0004952
78,107.161,0.47696,0.43455,0.90521,0.90862,0.625,0.62848,0.49396,1.12335,1.11327,1.261,0.0004754,0.0004754,0.0004754
79,108.753,0.45188,0.44714,0.89299,0.92978,0.625,0.62839,0.47913,1.12806,1.11097,1.26981,0.0004556,0.0004556,0.0004556
80,110.26,0.39151,0.40951,0.86848,0.94369,0.625,0.62842,0.49325,1.14338,1.1334,1.29258,0.0004358,0.0004358,0.0004358
81,111.831,0.40002,0.40978,0.86941,0.94369,0.625,0.62842,0.49325,1.14338,1.1334,1.29258,0.000416,0.000416,0.000416
82,113.34,0.41694,0.40107,0.88969,0.95403,0.625,0.62875,0.51123,1.12086,1.1166,1.28935,0.0003962,0.0003962,0.0003962
83,115.285,0.47619,0.41794,0.9454,0.96805,0.625,0.6292,0.51949,1.11683,1.09137,1.2794,0.0003764,0.0003764,0.0003764
84,116.779,0.40487,0.45862,0.8949,0.97602,0.625,0.62995,0.51673,1.08999,1.07121,1.26397,0.0003566,0.0003566,0.0003566
85,118.31,0.4306,0.4005,0.90821,0.97602,0.625,0.62995,0.51673,1.08999,1.07121,1.26397,0.0003368,0.0003368,0.0003368
86,120.233,0.40849,0.4055,0.90018,0.9799,0.625,0.63091,0.51977,1.08245,1.06476,1.25026,0.000317,0.000317,0.000317
87,121.869,0.34221,0.3684,0.8475,0.97979,0.625,0.63179,0.51507,1.09715,1.05843,1.24658,0.0002972,0.0002972,0.0002972
88,123.652,0.42408,0.41077,0.89333,0.97562,0.625,0.63319,0.51806,1.09548,1.04075,1.23852,0.0002774,0.0002774,0.0002774
89,125.471,0.41806,0.41133,0.88662,0.97562,0.625,0.63319,0.51806,1.09548,1.04075,1.23852,0.0002576,0.0002576,0.0002576
90,126.985,0.40802,0.41766,0.89872,0.96706,0.625,0.63493,0.51389,1.07432,1.02436,1.2241,0.0002378,0.0002378,0.0002378
91,128.462,0.34265,0.44592,0.8477,0.94825,0.625,0.6356,0.51147,1.04993,1.00144,1.20731,0.000218,0.000218,0.000218
92,130.135,0.35331,0.4599,0.85444,0.94097,0.625,0.6371,0.54002,1.03453,0.98706,1.2024,0.0001982,0.0001982,0.0001982
93,131.376,0.3272,0.38096,0.81027,0.94097,0.625,0.6371,0.54002,1.03453,0.98706,1.2024,0.0001784,0.0001784,0.0001784
94,132.633,0.33332,0.39088,0.85453,0.94136,0.625,0.63814,0.52649,1.03001,0.9926,1.20614,0.0001586,0.0001586,0.0001586
95,133.891,0.31373,0.40978,0.82681,0.95432,0.625,0.63717,0.53246,1.01869,0.97394,1.19373,0.0001388,0.0001388,0.0001388
96,135.014,0.32794,0.38436,0.80215,0.95266,0.625,0.63848,0.52037,1.01235,0.96716,1.18688,0.000119,0.000119,0.000119
97,136.064,0.32956,0.39721,0.86538,0.95266,0.625,0.63848,0.52037,1.01235,0.96716,1.18688,9.92e-05,9.92e-05,9.92e-05
98,137.102,0.32627,0.4036,0.79675,0.95062,0.625,0.63885,0.51086,1.02143,0.96888,1.18194,7.94e-05,7.94e-05,7.94e-05
99,138.465,0.32739,0.39532,0.827,0.94299,0.625,0.6301,0.5094,1.04099,0.98037,1.18501,5.96e-05,5.96e-05,5.96e-05
100,139.566,0.28063,0.36997,0.83283,0.93854,0.625,0.63067,0.51638,1.05678,0.99194,1.19047,3.98e-05,3.98e-05,3.98e-05
